Date,Mysore,Kodagu,Mandya,Hassan
19-Jun-11,1.64,15.56,0.06,1.48
20-Jun-11,0.21,1.73,0,0.16
21-Jun-11,0.12,1.15,0,0.05
22-Jun-11,0,0.32,0,0.02
23-Jun-11,3.49,34.27,0,3.8
24-Jun-11,2.28,21,0.36,2.3
25-Jun-11,3.76,33.27,0.59,3.6
26-Jun-11,7.38,49.91,4.59,7.27
27-Jun-11,7.55,59.26,0.32,9.79
28-Jun-11,5.26,46.46,0.4,5.32
29-Jun-11,0.75,8.19,0,0.69
30-Jun-11,0.25,2.71,0,0.24
01-Jul-11,0.19,2.34,0.42,0.2
02-Jul-11,9.11,30.31,4.24,48.27
03-Jul-11,0.36,2.84,1.14,0.6
04-Jul-11,0.55,4.18,0.09,0.31
05-Jul-11,2.26,15.63,1.61,3.1
06-Jul-11,1.55,14.02,0.1,1.3
07-Jul-11,6.03,27.41,3.15,5.68
08-Jul-11,1.09,8.75,0,0.75
09-Jul-11,0.97,8.93,0,1.08
10-Jul-11,0.31,3.25,0.45,0.31
11-Jul-11,1.62,16.04,0.7,1.26
12-Jul-11,1.82,11.64,0.29,1.03
13-Jul-11,2.19,24.32,0.28,3.33
14-Jul-11,3.53,30.17,0.42,6.37
15-Jul-11,8.42,38.83,6.04,8.51
16-Jul-11,6.19,31.95,2.67,6.15
17-Jul-11,10.08,50.51,8.5,38.8
18-Jul-11,7.88,44.72,2.07,11.47
19-Jul-11,8.48,52.4,5.36,9.4
20-Jul-11,3.73,32.77,0.19,4.7
21-Jul-11,3.65,18.21,1.31,5.38
22-Jul-11,5.35,27.61,1.77,2.86
23-Jul-11,2.39,14.16,0.32,2.92
24-Jul-11,4.68,46.31,0.03,4.79
25-Jul-11,8.06,40.27,3.31,4.02
26-Jul-11,4.63,11.25,10.78,11.38
27-Jul-11,3.9,27.99,6.15,22.83
28-Jul-11,3.15,5.64,1.44,1.27
29-Jul-11,3.07,7.02,2.17,1.84
30-Jul-11,4.22,6.09,6.26,9.76
31-Jul-11,4.27,30.2,0.33,9.09
01-Aug-11,2.3,11.69,0.71,1.11
02-Aug-11,2.33,20.95,0.18,7.12
03-Aug-11,10.9,52.52,5.54,11.75
04-Aug-11,8.29,48.52,4.26,15.03
05-Aug-11,6.15,33.72,2.02,5.9
06-Aug-11,11.92,67.47,8.5,13.12
07-Aug-11,7.17,38.11,3.88,4.72
08-Aug-11,5.51,42.41,1.5,7.32
09-Aug-11,4.63,26.37,3.43,3.17
10-Aug-11,7.29,14.5,4.06,2.71
11-Aug-11,2.25,13.99,0.83,1.2
12-Aug-11,1.95,18.66,3.07,2.82
13-Aug-11,3.26,30.31,0.3,4.07
14-Aug-11,0.32,2.82,0,0.3
15-Aug-11,0.76,7.35,0,0.71
16-Aug-11,3.55,2.21,13.59,1.76
17-Aug-11,2.46,4.08,6.6,3.88
18-Aug-11,30.01,8.16,32.3,6.69
19-Aug-11,2.48,17.89,1.95,2.41
20-Aug-11,0.91,8.09,0,0.92
21-Aug-11,5.2,29.37,7.35,10.38
22-Aug-11,0.27,2.58,0.51,0.3
23-Aug-11,3.44,11.14,1.45,1.79
24-Aug-11,0.75,7.67,1.65,1.19
25-Aug-11,2.2,11.48,1.15,1.67
26-Aug-11,1.56,8.16,0.69,1.44
27-Aug-11,4.35,33.52,0.1,7.41
28-Aug-11,4.61,14.2,2.12,2.34
29-Aug-11,0.83,7.38,0.04,3.5
30-Aug-11,7.12,27.57,2.3,4.92
31-Aug-11,3.93,30.11,0.45,4.72
01-Sep-11,13.44,39.61,5.26,8.82
02-Sep-11,9.45,76.55,1.58,17.71
03-Sep-11,10.42,59.37,3.78,10.07
04-Sep-11,6.69,32.41,2.59,6.71
05-Sep-11,1.73,6.17,0.63,3.18
06-Sep-11,1.26,4.45,1.8,1.15
07-Sep-11,4.32,13.75,1.14,1.45
08-Sep-11,0.78,6.54,0.02,1.13
09-Sep-11,2.16,9.76,1.71,1.16
10-Sep-11,1.66,7.37,1.11,0.75
11-Sep-11,4.8,17.81,1.32,2
12-Sep-11,1.53,9.87,1.16,0.99
13-Sep-11,8.28,9.76,12.04,5.54
14-Sep-11,1.33,10.67,0,1.42
15-Sep-11,2.21,19.46,0.19,2.81
16-Sep-11,5.32,25.2,4.96,6.48
17-Sep-11,0.4,3.9,0.12,0.77
